,UNIT,IN,OUT,COORDS
277,R287,21480.0,20133.0,"[40.688855, -73.960025]"
278,R288,51635.0,8245.0,"[40.666276, -73.980324]"
279,R289,27745.0,7299.0,"[40.650721999999995, -73.975818]"
280,R290,63698.0,42683.0,"[40.728202, -74.005344]"
281,R291,64223.0,43346.0,"[40.744558000000005, -73.930993]"
282,R292,19026.0,1900.0,"[40.878656, -73.838596]"
283,R293,231292.0,157046.0,"[40.750264, -73.99298399999999]"
284,R294,31196.0,12885.0,"[40.706148, -73.93316]"
285,R295,19228.0,17498.0,"[40.688676, -73.903999]"
286,R296,16085.0,5325.0,"[40.835957, -73.939898]"
287,R297,27773.0,27151.0,"[40.681159, -73.956056]"
288,R298,34377.0,25754.0,"[40.752897999999995, -73.905973]"
289,R299,19839.0,14468.0,"[40.7061, -73.95034799999999]"
290,R300,69769.0,64923.0,"[40.723290999999996, -73.989873]"
291,R301,41683.0,26390.0,"[40.699756, -73.98689]"
292,R302,64623.0,57433.0,"[40.763625, -73.977449]"
293,R303,39854.0,28819.0,"[40.7541, -73.94258]"
294,R304,44584.0,27481.0,"[40.707840000000004, -74.01369100000001]"
295,R306,19559.0,576.0,"[40.884821, -73.900759]"
296,R307,14897.0,12393.0,"[40.813208, -73.929877]"
297,R308,24148.0,18130.0,"[40.844406, -73.914621]"
298,R309,25138.0,11037.0,"[40.848634999999994, -73.912497]"
299,R310,46754.0,30190.0,"[40.75176, -73.855183]"
300,R311,13596.0,10387.0,"[40.720315, -73.994014]"
301,R312,8918.0,6050.0,"[40.576152, -73.975925]"
302,R313,8660.0,5861.0,"[40.682558, -73.905501]"
303,R314,21182.0,14484.0,"[40.796105, -73.961399]"
304,R315,17909.0,7890.0,"[40.829934, -73.938632]"
305,R316,13113.0,12794.0,"[40.700374, -73.950284]"
306,R317,25151.0,2549.0,"[40.688123, -73.96674200000001]"
307,R318,23266.0,18354.0,"[40.687129999999996, -73.975346]"
308,R319,58429.0,53359.0,"[40.764763, -73.966291]"
309,R320,24976.0,23991.0,"[40.722819, -74.00626700000001]"
310,R321,35724.0,29410.0,"[40.741096, -73.997877]"
311,R322,45460.0,47662.0,"[40.722396999999994, -73.997211]"
312,R323,41078.0,32742.0,"[40.79911, -73.95180699999999]"
313,R324,54389.0,24012.0,"[40.802098, -73.949625]"
314,R325,7347.0,7172.0,"[40.826508000000004, -73.886425]"
315,R326,9346.0,7863.0,"[40.836459999999995, -73.846471]"
316,R327,30145.0,26726.0,"[40.744103, -73.912497]"
317,R328,13537.0,13732.0,"[40.754622, -73.845625]"
318,R329,11434.0,10260.0,"[40.854137, -73.860977]"
319,R330,30615.0,29712.0,"[40.733243, -73.987169]"
320,R331,12346.0,9394.0,"[40.830551, -73.941486]"
321,R332,25927.0,20223.0,"[40.817902000000004, -73.947644]"
322,R333,26976.0,16309.0,"[40.805071999999996, -73.954833]"
323,R334,32796.0,20872.0,"[40.800637, -73.958201]"
324,R335,9762.0,10262.0,"[40.590866999999996, -73.797011]"
325,R336,10561.0,10275.0,"[40.592334, -73.788493]"
326,R337,2857.0,2936.0,"[40.593214, -73.776433]"
327,R338,4262.0,4543.0,"[40.595381, -73.768194]"
328,R339,20529.0,15523.0,"[40.75202, -73.92874]"
329,R340,17514.0,11351.0,"[40.749663, -73.898485]"
330,R341,15776.0,1625.0,"[40.718477, -73.837223]"
331,R342,22976.0,22807.0,"[40.702566, -73.816859]"
332,R343,24471.0,17820.0,"[40.719322999999996, -74.006953]"
333,R344,15648.0,702.0,"[40.820402, -73.93631500000001]"
334,R345,17184.0,16356.0,"[40.823877, -73.93644300000001]"
335,R346,18590.0,20895.0,"[40.747029, -73.94537]"
336,R347,22364.0,20371.0,"[40.746325, -73.896403]"
337,R348,6291.0,2631.0,"[40.675496, -73.902819]"
338,R349,21696.0,12500.0,"[40.669376, -73.902047]"
339,R350,15567.0,11069.0,"[40.663801, -73.900444]"
340,R352,12143.0,6579.0,"[40.706994, -73.95348100000001]"
341,R353,22116.0,9564.0,"[40.703855, -73.947387]"
342,R354,10560.0,2940.0,"[40.681745, -73.837631]"
343,R355,1631.0,341.0,"[40.684364, -73.832181]"
344,R356,36935.0,28672.0,"[40.685975, -73.824713]"
345,R357,5596.0,7966.0,"[40.668234000000005, -73.834058]"
346,R358,8525.0,8984.0,"[40.600138, -73.76151999999999]"
347,R359,79787.0,39234.0,"[40.747257, -73.945112]"
348,R360,6946.0,7979.0,"[40.743973, -73.949876]"
349,R361,43627.0,15813.0,"[40.857188, -73.86760699999999]"
350,R362,25701.0,9362.0,"[40.865481, -73.867393]"
351,R363,16358.0,5212.0,"[40.871387, -73.867135]"
352,R364,34658.0,34553.0,"[40.877796000000004, -73.86625500000001]"
353,R365,16236.0,6921.0,"[40.883767, -73.862736]"
354,R366,20717.0,7825.0,"[40.887887, -73.860505]"
355,R367,25452.0,7998.0,"[40.893386, -73.857265]"
