index,IN,lat,lon
248,80981.0,40.67032,-73.988757
249,40190.0,40.759123,-73.953266
250,72026.0,40.849495,-73.933632
251,68160.0,40.743778,-73.923998
252,19201.0,40.643982,-73.96451
253,20752.0,40.629164,-73.961678
254,20464.0,40.576298,-73.968523
255,46825.0,40.707889,-73.940005
256,51508.0,40.695607,-73.904021
257,58095.0,40.756312,-73.913333
258,101538.0,40.713875,-73.951592
259,53968.0,40.689636,-73.953459
260,31332.0,40.673714,-73.996139
261,16288.0,40.589547,-73.974295
262,93717.0,40.747224,-73.99336
263,63057.0,40.826426,-73.950412
264,52659.0,40.855176,-73.929384
265,41143.0,40.858389,-73.903828
266,95894.0,40.742624,-73.953545
267,26025.0,40.667879,-73.950648
268,18507.0,40.660481,-73.998059
269,50738.0,40.706636,-73.922925
270,30796.0,40.859022,-73.93419
271,59517.0,40.775545,-73.976398
272,77529.0,40.726202,-74.003627
273,31698.0,40.68617,-73.973908
274,27910.0,40.683263,-73.965838
275,31147.0,40.603983,-73.755383
276,38398.0,40.694568,-73.949046
277,33111.0,40.688855,-73.960025
278,71837.0,40.666276,-73.980324
279,36681.0,40.650722,-73.975818
280,84997.0,40.728202,-74.005344
281,80360.0,40.744558,-73.930993
282,23897.0,40.878656,-73.838596
283,345354.0,40.750264,-73.992984
284,51085.0,40.706148,-73.93316
285,29840.0,40.688676,-73.903999
286,28679.0,40.835957,-73.939898
287,41234.0,40.681159,-73.956056
288,46326.0,40.752898,-73.905973
289,28496.0,40.7061,-73.950348
290,110882.0,40.723291,-73.989873
291,59941.0,40.699756,-73.98689
292,93312.0,40.763625,-73.977449
293,57226.0,40.7541,-73.94258
294,65004.0,40.70784,-74.013691
295,26347.0,40.884821,-73.900759
296,21120.0,40.813208,-73.929877
297,36150.0,40.844406,-73.914621
298,-1463425.0,40.848635,-73.912497
299,72683.0,40.75176,-73.855183
300,23073.0,40.720315,-73.994014
301,13795.0,40.576152,-73.975925
302,13427.0,40.682558,-73.905501
303,30000.0,40.796105,-73.961399
304,25849.0,40.829934,-73.938632
305,18318.0,40.700374,-73.950284
306,35411.0,40.688123,-73.966742
307,35009.0,40.68713,-73.975346
308,64160.0,40.764763,-73.966291
309,34781.0,40.722819,-74.006267
310,51243.0,40.741096,-73.997877
311,72174.0,40.722397,-73.997211
312,63103.0,40.79911,-73.951807
