,UNIT,IN,OUT,COORDS
273,R283,20188.0,8061.0,"[40.686170000000004, -73.973908]"
274,R284,23514.0,19733.0,"[40.683263000000004, -73.965838]"
275,R285,21016.0,21354.0,"[40.603983, -73.755383]"
276,R286,25051.0,12766.0,"[40.694568, -73.949046]"
277,R287,21941.0,20342.0,"[40.688855, -73.960025]"
278,R288,48747.0,8415.0,"[40.666276, -73.980324]"
279,R289,25487.0,7048.0,"[40.650721999999995, -73.975818]"
280,R290,62461.0,40647.0,"[40.728202, -74.005344]"
281,R291,62024.0,41929.0,"[40.744558000000005, -73.930993]"
282,R292,17225.0,1870.0,"[40.878656, -73.838596]"
283,R293,228243.0,159395.0,"[40.750264, -73.99298399999999]"
284,R294,31795.0,13021.0,"[40.706148, -73.93316]"
285,R295,19419.0,17491.0,"[40.688676, -73.903999]"
286,R296,14908.0,5191.0,"[40.835957, -73.939898]"
287,R297,26735.0,26463.0,"[40.681159, -73.956056]"
288,R298,31603.0,24942.0,"[40.752897999999995, -73.905973]"
289,R299,18862.0,14066.0,"[40.7061, -73.95034799999999]"
290,R300,71080.0,67933.0,"[40.723290999999996, -73.989873]"
291,R301,40789.0,25297.0,"[40.699756, -73.98689]"
292,R302,65435.0,54509.0,"[40.763625, -73.977449]"
293,R303,40729.0,29205.0,"[40.7541, -73.94258]"
294,R304,45521.0,26494.0,"[40.707840000000004, -74.01369100000001]"
295,R306,17935.0,583.0,"[40.884821, -73.900759]"
296,R307,15018.0,12468.0,"[40.813208, -73.929877]"
297,R308,24391.0,18049.0,"[40.844406, -73.914621]"
298,R309,26125.0,12219.0,"[40.848634999999994, -73.912497]"
299,R310,46889.0,30320.0,"[40.75176, -73.855183]"
300,R311,13737.0,10766.0,"[40.720315, -73.994014]"
301,R312,9012.0,6209.0,"[40.576152, -73.975925]"
302,R313,8801.0,5816.0,"[40.682558, -73.905501]"
303,R314,20220.0,14577.0,"[40.796105, -73.961399]"
304,R315,16767.0,7742.0,"[40.829934, -73.938632]"
305,R316,12478.0,11974.0,"[40.700374, -73.950284]"
306,R317,23919.0,2564.0,"[40.688123, -73.96674200000001]"
307,R318,23505.0,18518.0,"[40.687129999999996, -73.975346]"
308,R319,58812.0,54108.0,"[40.764763, -73.966291]"
309,R320,24865.0,23133.0,"[40.722819, -74.00626700000001]"
310,R321,36692.0,30140.0,"[40.741096, -73.997877]"
311,R322,46515.0,49696.0,"[40.722396999999994, -73.997211]"
312,R323,41835.0,33322.0,"[40.79911, -73.95180699999999]"
313,R324,52007.0,23457.0,"[40.802098, -73.949625]"
314,R325,7573.0,7164.0,"[40.826508000000004, -73.886425]"
315,R326,5543.0,5109.0,"[40.836459999999995, -73.846471]"
316,R327,27967.0,26328.0,"[40.744103, -73.912497]"
317,R328,12987.0,13455.0,"[40.754622, -73.845625]"
318,R329,10124.0,10148.0,"[40.854137, -73.860977]"
319,R330,30981.0,30324.0,"[40.733243, -73.987169]"
320,R331,11819.0,9875.0,"[40.830551, -73.941486]"
321,R332,24872.0,19273.0,"[40.817902000000004, -73.947644]"
322,R333,26036.0,16026.0,"[40.805071999999996, -73.954833]"
323,R334,31477.0,19358.0,"[40.800637, -73.958201]"
324,R335,9953.0,10385.0,"[40.590866999999996, -73.797011]"
325,R336,10748.0,10198.0,"[40.592334, -73.788493]"
326,R337,2832.0,2930.0,"[40.593214, -73.776433]"
327,R338,4315.0,4576.0,"[40.595381, -73.768194]"
328,R339,19877.0,14301.0,"[40.75202, -73.92874]"
329,R340,15906.0,11132.0,"[40.749663, -73.898485]"
330,R341,15848.0,1581.0,"[40.718477, -73.837223]"
331,R342,21119.0,22018.0,"[40.702566, -73.816859]"
332,R343,24198.0,16730.0,"[40.719322999999996, -74.006953]"
333,R344,15989.0,715.0,"[40.820402, -73.93631500000001]"
334,R345,17445.0,16491.0,"[40.823877, -73.93644300000001]"
335,R346,19114.0,21288.0,"[40.747029, -73.94537]"
336,R347,20613.0,19866.0,"[40.746325, -73.896403]"
337,R348,6491.0,2672.0,"[40.675496, -73.902819]"
338,R349,20274.0,12275.0,"[40.669376, -73.902047]"
339,R350,14524.0,10732.0,"[40.663801, -73.900444]"
340,R352,11397.0,6288.0,"[40.706994, -73.95348100000001]"
341,R353,20689.0,9243.0,"[40.703855, -73.947387]"
342,R354,10576.0,2900.0,"[40.681745, -73.837631]"
343,R355,1425.0,340.0,"[40.684364, -73.832181]"
344,R356,37147.0,28667.0,"[40.685975, -73.824713]"
345,R357,5001.0,8534.0,"[40.668234000000005, -73.834058]"
346,R358,8605.0,8978.0,"[40.600138, -73.76151999999999]"
347,R359,78816.0,38386.0,"[40.747257, -73.945112]"
348,R360,6806.0,7506.0,"[40.743973, -73.949876]"
349,R361,41065.0,15530.0,"[40.857188, -73.86760699999999]"
350,R362,23912.0,9118.0,"[40.865481, -73.867393]"
351,R363,14939.0,5141.0,"[40.871387, -73.867135]"
352,R364,32778.0,33175.0,"[40.877796000000004, -73.86625500000001]"
353,R365,14834.0,6789.0,"[40.883767, -73.862736]"
354,R366,18925.0,7575.0,"[40.887887, -73.860505]"
355,R367,23347.0,7605.0,"[40.893386, -73.857265]"
356,R368,24318.0,23280.0,"[40.646343, -73.994551]"
357,R369,19554.0,11463.0,"[40.640871999999995, -73.994229]"
358,R370,27521.0,9307.0,"[40.619588, -73.99884200000001]"
359,R371,30151.0,9459.0,"[40.613513, -74.00064499999999]"
360,R372,26785.0,7347.0,"[40.607958, -74.00178199999999]"
361,R373,22474.0,7933.0,"[40.604797999999995, -73.998456]"
362,R374,33830.0,29418.0,"[40.601898, -73.993821]"
363,R375,23118.0,20308.0,"[40.658747999999996, -73.899472]"
364,R376,17017.0,15272.0,"[40.650625, -73.899558]"
365,R377,38727.0,11839.0,"[40.700244, -73.94165799999999]"
366,R378,48830.0,28807.0,"[40.697266, -73.935692]"
367,R379,21415.0,8051.0,"[40.693329, -73.928826]"
368,R380,27567.0,10954.0,"[40.689652, -73.92228100000001]"
369,R381,26750.0,11792.0,"[40.686170000000004, -73.916337]"
370,R382,36225.0,22798.0,"[40.677107, -73.865376]"
371,R383,5993.0,600.0,"[40.679369, -73.85896]"
372,R384,16166.0,5053.0,"[40.679857, -73.85149200000001]"
373,R385,33003.0,9615.0,"[40.680429, -73.843853]"
374,R386,26757.0,22398.0,"[40.837382, -73.887659]"
375,R387,33974.0,21394.0,"[40.840097, -73.879774]"
376,R388,31753.0,24683.0,"[40.841882, -73.873551]"
377,R389,12313.0,4807.0,"[40.848797, -73.868465]"
378,R390,58317.0,45834.0,"[40.635011, -74.011717]"
379,R391,7565.0,19003.0,"[40.631428, -74.005387]"
380,R392,9284.0,17450.0,"[40.620728, -73.990388]"
381,R393,5901.0,1072.0,"[40.617373, -73.985088]"
382,R394,45105.0,28910.0,"[40.612006, -73.98200899999999]"
383,R395,6321.0,15274.0,"[40.603967, -73.98066800000001]"
384,R396,5843.0,11079.0,"[40.597482, -73.979359]"
385,R397,5584.0,4224.0,"[40.592676000000004, -73.978243]"
386,R398,24237.0,20602.0,"[40.625419, -73.99663199999999]"
387,R399,28326.0,5876.0,"[40.597873, -73.98695500000001]"
388,R400,13579.0,3346.0,"[40.588879, -73.98362900000001]"
389,R401,16523.0,14948.0,"[40.697672999999995, -73.927131]"
390,R402,11534.0,11106.0,"[40.702798, -73.907776]"
391,R403,18476.0,13348.0,"[40.704423999999996, -73.903077]"
392,R404,25697.0,25897.0,"[40.706181, -73.89591]"
393,R405,25451.0,4377.0,"[40.816505, -73.907797]"
394,R406,34558.0,8877.0,"[40.819396000000005, -73.90146700000001]"
395,R407,15156.0,14191.0,"[40.822171999999995, -73.89674699999999]"
396,R408,42218.0,7098.0,"[40.82417, -73.89322800000001]"
397,R409,21614.0,16464.0,"[40.829966, -73.891876]"
398,R411,7593.0,8841.0,"[40.67491, -73.95779399999999]"
399,R412,7691.0,9642.0,"[40.670499, -73.958759]"
400,R413,17651.0,17250.0,"[40.698665999999996, -73.919685]"
401,R414,9209.0,2163.0,"[40.660476, -73.830301]"
402,R415,1409.0,355.0,"[40.608693, -73.816068]"
403,R416,3465.0,2929.0,"[40.588032, -73.813684]"
404,R417,2245.0,2077.0,"[40.585514, -73.820143]"
405,R418,1130.0,1215.0,"[40.583542, -73.82643]"
406,R419,2709.0,3224.0,"[40.580453999999996, -73.837459]"
407,R420,12337.0,8467.0,"[40.63615, -73.978179]"
408,R421,6440.0,7168.0,"[40.625305, -73.975732]"
409,R422,6896.0,2549.0,"[40.620907, -73.975453]"
410,R423,15158.0,9821.0,"[40.615173999999996, -73.974166]"
411,R424,13021.0,6174.0,"[40.609147, -73.97298599999999]"
412,R425,12134.0,3594.0,"[40.596065, -73.973329]"
413,R426,7673.0,2293.0,"[40.580991999999995, -73.974531]"
414,R427,8899.0,8371.0,"[40.843635, -73.836687]"
